id,OCCP_NAME_G,CUST_JOB_INCM,HSHD_INFR_INCM,ACTL_FMLY_NUM,CUST_FMLY_NUM,LAST_CHLD_AGE,MATE_OCCP_NAME_G,MATE_JOB_INCM,CRDT_LOAN_CNT,MIN_CNTT_DATE,TOT_CRLN_AMT,TOT_REPY_AMT,CRLN_OVDU_RATE,CRLN_30OVDU_RATE,LT1Y_CLOD_RATE,STRT_CRDT_GRAD,LTST_CRDT_GRAD,PREM_OVDU_RATE,LT1Y_PEOD_RATE,AVG_STLN_RATE,STLN_REMN_AMT,LT1Y_STLN_AMT,LT1Y_SLOD_RATE,GDINS_MON_PREM,SVINS_MON_PREM,FMLY_GDINS_MNPREM,FMLY_SVINS_MNPREM,MAX_MON_PREM,TOT_PREM,FMLY_TOT_PREM,CNTT_LAMT_CNT,LT1Y_CTLT_CNT,AUTR_FAIL_MCNT,FYCM_PAID_AMT,FMLY_CLAM_CNT,FMLY_PLPY_CNT,AGE,SEX
16,자영업,0,5400,5,3,34,자영업,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,990000,0,1190000,590000,6990000,139000000,239000000,1,0,0,9900000,9,0,60,2
17,전문직,3300,7400,3,1,9,자영업,4100,0,0,0,0,0,0,0,0,0,23,10미만,0,0,0,0,0,110000,0,110000,300000,6000000,6000000,0,0,2,0,0,0,50,2
18,3차산업 종사자,4400,4400,1,1,0,,0,0,0,0,0,0,0,0,0,0,27,10미만,0,0,0,0,140000,0,140000,0,300000,23000000,23000000,0,0,0,1000000,3,1,45,1
19,자영업,5500,6100,4,1,39,자영업,0,0,0,0,0,0,0,0,0,0,3,20미만,0,0,0,0,40000,0,40000,0,1190000,11000000,11000000,1,0,2,0,0,1,60,2
20,주부,0,5300,4,3,34,2차산업 종사자,0,1,201004,4000000,4000000,0,0,0,0,0,3,0,44,4000000,0,10,120000,0,390000,0,190000,18000000,44000000,1,0,3,0,0,3,55,2
21,주부,0,5200,3,2,34,,0,0,0,0,0,0,0,0,0,0,31,30미만,0,0,0,0,300000,0,490000,230000,340000,54000000,80000000,0,0,14,13400000,6,5,60,2
22,3차산업 종사자,0,4800,1,1,0,,0,0,0,0,0,0,0,0,0,0,5,0,62,2000000,2000000,0,140000,0,140000,0,390000,16000000,16000000,0,0,0,200000,1,0,45,2
23,주부,0,7000,3,2,34,3차산업 종사자,0,0,0,0,0,0,0,0,0,0,11,0,49,14000000,0,0,150000,0,230000,0,790000,30000000,32000000,0,0,0,7500000,16,2,55,1
24,주부,0,7700,2,1,0,기업/단체 임원,0,0,0,0,0,0,0,0,0,0,10,0,92,3000000,0,40,0,0,0,0,30000,4000000,4000000,0,0,0,100000,1,1,55,2
25,주부,0,10200,3,2,29,고소득 전문직,5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590000,37000000,99000000,0,0,0,0,0,3,50,2
26,3차산업 종사자,3400,8300,4,3,34,2차산업 종사자,5000,0,0,0,0,0,0,0,0,0,13,10미만,0,0,0,0,160000,0,590000,0,160000,21000000,89000000,0,0,6,19100000,33,4,55,1
27,주부,0,5400,2,2,0,자영업,4100,0,0,0,0,0,0,0,0,0,1,0,79,20000000,0,0,260000,0,260000,0,260000,39000000,56000000,0,0,0,1900000,4,1,45,1
28,사무직,0,14900,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,94,34000000,0,0,0,0,0,0,590000,31000000,31000000,0,0,0,0,0,1,60,2
29,사무직,5700,6000,3,1,24,주부,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,190000,0,190000,0,190000,28000000,28000000,0,0,3,400000,2,1,60,2
30,고소득 전문직,9900,9800,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190000,119000000,119000000,0,0,0,0,0,1,35,1
31,2차산업 종사자,0,9600,3,3,39,2차산업 종사자,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,230000,340000,490000,340000,790000,41000000,89000000,1,1,2,2900000,8,1,60,2
32,운전직,4400,4400,5,1,19,주부,0,0,0,0,0,0,0,0,0,0,4,0,63,2000000,0,0,0,0,0,0,160000,4000000,4000000,0,0,0,900000,4,1,45,1
33,주부,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,200000,0,260000,3000000,3000000,0,0,0,0,2,0,35,2
34,주부,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50000,6000000,6000000,0,0,0,0,0,1,45,1
35,주부,0,10200,4,2,14,사무직,5500,0,0,0,0,0,0,0,0,0,4,10미만,14,4000000,0,10,120000,60000,390000,60000,490000,36000000,73000000,0,0,0,5700000,13,3,40,1
36,주부,0,6100,6,1,19,사무직,6100,0,0,0,0,0,0,0,0,0,7,30미만,38,11000000,0,40,300000,0,300000,0,790000,45000000,45000000,0,0,8,45300000,17,10,45,2
37,단순 사무직,2600,7100,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,340000,0,90000,2000000,6000000,0,0,0,0,0,0,65,1
38,단순 사무직,4900,6400,2,1,0,,0,1,200005,11000000,11000000,38,0,0,0,0,35,0,0,0,0,0,140000,0,140000,0,140000,21000000,21000000,0,0,0,0,0,1,45,1
39,2차산업 종사자,3700,5200,2,2,0,주부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,160000,0,3000000,8000000,1,0,0,900000,0,1,50,2
40,2차산업 종사자,4400,4400,2,1,0,,0,0,0,0,0,0,0,0,0,0,15,0,100,3000000,1000000,40,160000,0,160000,0,260000,14000000,14000000,0,0,25,100000,29,1,45,2
41,공무원,4100,8100,2,1,0,공무원,4100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,790000,5000000,5000000,0,0,0,0,0,1,35,1
42,1차산업 종사자,4300,8400,4,3,29,1차산업 종사자,4100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,160000,0,390000,0,390000,19000000,44000000,0,0,0,0,0,0,35,2
43,공무원,4400,9300,5,2,14,전문직,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,160000,90000,160000,200000,9000000,17000000,0,0,0,200000,2,1,35,2
44,사무직,3500,3500,1,1,0,,0,0,0,0,0,0,0,0,0,0,3,10미만,0,0,0,0,0,50000,0,50000,50000,3000000,3000000,0,0,0,0,0,0,55,1
45,2차산업 종사자,4500,9300,5,1,24,사무직,4800,0,0,0,0,0,0,0,0,0,15,20미만,0,0,0,0,90000,0,90000,0,130000,15000000,15000000,0,0,7,5400000,6,1,50,1
46,주부,0,8900,4,1,24,2차산업 종사자,4200,1,200209,6000000,6000000,17,0,0,0,0,12,20미만,0,0,0,0,490000,300000,490000,300000,790000,43000000,43000000,3,0,8,1000000,4,1,55,1
47,예체능계 종사자,3700,11100,1,1,0,,0,0,0,0,0,0,0,0,0,0,10,20미만,0,0,0,0,100000,0,100000,0,100000,3000000,3000000,0,0,1,0,0,0,35,2
48,고소득 전문직,10000,19900,2,2,0,고소득 전문직,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000,13000000,17000000,0,0,0,100000,0,3,40,2
49,주부,0,4900,4,1,24,공무원,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,13000000,13000000,0,0,0,1000000,1,3,50,2
50,2차산업 종사자,5400,10000,4,1,14,주부,0,0,0,0,0,0,0,0,0,0,6,10미만,0,0,0,0,0,60000,0,60000,190000,22000000,22000000,0,0,6,3300000,11,3,50,2
51,고소득 전문직,10000,19900,4,2,24,주부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,200000,230000,18000000,21000000,0,0,0,0,0,1,50,2
52,주부,0,5000,3,1,14,고소득 전문직,0,0,0,0,0,0,0,0,0,0,6,10미만,0,0,0,0,9999,0,9999,0,9999,2000000,2000000,0,0,1,0,0,0,45,1
53,자영업,5200,9500,6,2,14,자영업,4300,0,0,0,0,0,0,0,0,0,11,30미만,46,12000000,0,0,1990000,230000,1990000,590000,3990000,109000000,119000000,2,1,17,1200000,3,0,45,1
54,전문직,3000,6600,2,1,0,3차산업 종사자,3600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80000,0,80000,0,110000,3000000,3000000,1,0,0,0,0,1,40,1
55,사무직,3100,3100,1,1,0,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,120000,0,120000,0,120000,9000000,9000000,0,0,0,500000,9,0,40,1
56,주부,0,4600,4,3,39,운전직,0,0,0,0,0,0,0,0,0,0,50,10미만,3,1000000,0,0,260000,0,590000,0,390000,58000000,99000000,1,0,2,9200000,13,3,60,1
57,2차산업 종사자,4700,4700,5,1,9,주부,0,1,201404,8000000,0,0,0,0,4,5,2,0,0,0,0,0,130000,0,130000,0,230000,8000000,8000000,0,0,0,300000,3,0,45,1
58,공무원,4800,8100,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,100000,190000,20000000,20000000,0,0,0,500000,3,1,45,1
59,전문직,2500,7400,5,1,19,3차산업 종사자,4900,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,260000,6000000,6000000,0,0,0,0,0,1,45,2
60,주부,0,4800,3,1,14,운전직,4200,0,0,0,0,0,0,0,0,0,26,0,97,2000000,1000000,0,260000,0,260000,0,590000,5000000,5000000,2,0,20,0,0,1,45,1
61,3차산업 종사자,2700,6300,3,2,0,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,190000,0,490000,300000,190000,15000000,40000000,0,0,7,12000000,11,1,25,1
62,학생,0,10700,3,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590000,0,590000,590000,21000000,21000000,0,0,0,0,0,0,30,2
63,사무직,4500,8100,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,12000000,12000000,0,0,0,0,0,1,35,1
64,주부,0,5900,3,1,39,,0,2,201102,30000000,30000000,0,0,0,2,5,2,10미만,43,0,0,40,230000,0,230000,0,230000,25000000,25000000,0,0,1,62000000,11,3,60,1
65,2차산업 종사자,5100,5600,3,1,19,,0,0,0,0,0,0,0,0,0,0,13,30미만,0,0,0,0,90000,0,90000,0,390000,6000000,6000000,1,0,4,0,0,0,45,1
66,주부,0,4900,6,1,14,단순 노무직,2900,0,0,0,0,0,0,0,0,0,8,10미만,0,0,0,0,230000,230000,230000,230000,990000,33000000,33000000,0,0,6,2700000,43,4,40,1
67,사무직,5300,10300,7,5,14,주부,0,0,0,0,0,0,0,0,0,0,43,30미만,63,101000000,101000000,20,4000000,490000,4000000,10000000,10000000,999000000,999000000,0,0,45,225000000,34,6,45,1
68,기타,0,2600,1,1,0,,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8000000,8000000,0,0,0,500000,1,1,65,1
69,주부,0,4500,6,1,14,1차산업 종사자,3800,5,200107,19000000,19000000,49,0,0,4,7,16,10미만,44,0,0,0,490000,0,490000,0,590000,33000000,33000000,2,0,15,2600000,7,1,45,2
70,3차산업 종사자,3400,3400,1,1,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40000,0,40000,0,40000,2000000,2000000,0,0,1,9500000,2,0,35,1
71,3차산업 종사자,3300,8200,4,1,19,사무직,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,9000000,9000000,0,0,0,300000,1,3,40,2
72,예체능계 종사자,3600,3600,3,1,4,,0,1,201507,8000000,0,12,0,20,5,6,25,50미만,100,1000000,6000000,30,230000,260000,230000,260000,490000,11000000,11000000,0,0,9,0,0,0,30,1
73,1차산업 종사자,0,3800,5,2,44,1차산업 종사자,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,150000,0,150000,0,490000,56000000,80000000,0,0,0,100000,0,5,65,1
74,주부,0,5000,2,2,0,사무직,5000,0,0,0,0,0,0,0,0,0,2,10미만,0,0,0,0,60000,100000,60000,260000,160000,9000000,17000000,0,0,0,200000,5,0,35,2
75,주부,0,5400,4,1,19,기업/단체 임원,5400,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,150000,18000000,18000000,0,0,0,0,0,2,45,2
76,주부,0,9900,4,1,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,80000,0,100000,12000000,12000000,0,0,0,700000,2,1,45,2
77,주부,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,150000,0,150000,3000000,3000000,0,0,0,0,0,0,35,1
78,주부,0,10500,2,2,0,사무직,7200,0,0,0,0,0,0,0,0,0,44,0,99,3000000,0,20,0,0,0,0,40000,5000000,8000000,0,0,0,0,0,2,45,1
79,주부,0,5800,3,2,14,사무직,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,0,50000,4000000,28000000,0,0,0,0,0,1,40,2
80,사무직,5700,7300,4,1,19,주부,0,1,201303,20000000,20000000,0,0,0,0,0,1,0,0,0,0,0,340000,0,340000,0,490000,10000000,10000000,0,0,0,0,0,0,40,2
81,사무직,3000,7700,2,2,0,,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,80000,0,80000,0,80000,5000000,11000000,0,0,10,0,0,1,30,2
82,사무직,0,8500,2,1,0,주부,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8000000,8000000,0,0,0,100000,1,1,65,2
83,자영업,4200,4500,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,4000000,0,0,0,0,0,1,45,1
84,기타,0,11000,4,1,39,사무직,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,90000,10000000,10000000,0,0,0,3300000,3,2,60,1
85,2차산업 종사자,0,0,2,1,34,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3000000,3000000,0,0,0,48300000,2,0,65,1
86,주부,0,6400,2,1,0,1차산업 종사자,3700,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5000000,5000000,0,0,0,0,0,1,50,2
87,3차산업 종사자,2700,4500,3,2,0,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,60000,0,340000,0,60000,3000000,17000000,0,0,8,1200000,7,0,35,2
88,자영업,5900,8400,4,1,24,주부,0,0,0,0,0,0,0,0,0,0,1,0,96,17000000,9000000,0,0,0,0,0,160000,21000000,21000000,0,0,0,5200000,5,3,45,1
89,2차산업 종사자,3600,8500,4,1,19,자영업,4900,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,90000,6000000,6000000,0,0,0,19200000,10,0,45,1
90,2차산업 종사자,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,100000,100000,4000000,4000000,0,0,0,0,0,0,25,2
91,주부,0,6700,5,1,19,운전직,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000,0,230000,0,790000,8000000,8000000,0,0,0,1200000,3,0,25,1
92,기타,0,7200,2,2,49,,0,0,0,0,0,0,0,0,0,0,14,20미만,0,0,0,0,260000,160000,300000,160000,490000,31000000,33000000,0,0,15,1900000,7,0,65,1
93,사무직,0,7400,1,1,0,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6000000,6000000,0,0,0,0,0,1,60,2
94,주부,0,4100,2,1,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,140000,0,140000,0,160000,22000000,22000000,0,0,0,200000,1,2,30,1
95,자영업,4700,5900,4,2,29,자영업,0,1,201310,12000000,12000000,11,0,0,6,6,22,30미만,100,23000000,2000000,0,130000,0,150000,0,490000,33000000,34000000,0,0,38,10900000,13,3,60,1
96,,0,3200,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,6000000,6000000,0,0,0,0,0,1,65,1
97,전문직,5900,8900,1,1,0,,0,1,200207,5000000,5000000,56,0,0,0,0,1,0,100,3000000,0,20,0,0,0,0,40000,5000000,5000000,0,0,0,0,0,1,45,2
98,2차산업 종사자,5800,10800,4,2,14,자영업,5000,0,0,0,0,0,0,0,0,0,20,20미만,9,1000000,0,30,190000,0,260000,0,300000,41000000,58000000,0,0,15,2900000,26,5,50,1
99,3차산업 종사자,0,9900,3,1,34,주부,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30000,0,30000,0,30000,8000000,8000000,0,0,0,100000,1,0,60,2
100,기타,0,8500,4,2,39,사무직,0,0,0,0,0,0,0,0,0,0,5,10미만,0,0,0,0,150000,0,150000,100000,150000,25000000,36000000,0,0,0,500000,2,0,65,1
101,전문직,0,5500,4,2,39,사무직,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,130000,300000,790000,5000000,33000000,0,0,0,1600000,0,2,65,2
102,사무직,3700,7600,4,1,0,고소득 전문직,3900,0,0,0,0,0,0,0,0,0,19,0,100,2000000,0,10,0,0,0,0,100000,4000000,4000000,0,0,7,1200000,15,1,35,2
103,전문직,3500,5000,4,1,19,2차산업 종사자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,4000000,4000000,0,0,0,400000,2,1,45,1
104,사무직,2400,2400,3,1,0,,0,0,0,0,0,0,0,0,0,0,12,10미만,0,0,0,0,200000,0,200000,0,200000,54000000,54000000,0,0,3,8700000,8,5,30,1
105,학생,0,9000,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,0,190000,0,190000,17000000,17000000,0,0,1,0,0,0,40,1
106,자영업,4600,8900,1,1,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,70000,0,70000,0,70000,1000000,1000000,0,0,0,0,0,0,55,1
107,사무직,5800,9900,2,2,0,사무직,4100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,110000,0,190000,0,230000,18000000,30000000,0,0,0,0,0,2,50,2
108,학생,0,3500,3,2,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000,0,340000,0,100000,14000000,68000000,0,0,0,0,0,2,40,1
109,주부,0,4000,3,3,49,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,30000,2000000,18000000,2,0,0,4600000,10,5,65,1
110,2차산업 종사자,4600,5900,2,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,190000,0,190000,0,490000,30000000,30000000,0,0,0,1300000,1,1,40,1
111,주부,0,7100,1,1,0,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1190000,1190000,1190000,1190000,2490000,70000000,70000000,1,0,0,6300000,7,2,60,2
112,주부,0,4000,5,1,19,2차산업 종사자,4000,0,0,0,0,0,0,0,0,0,0,0,100,2000000,0,20,0,0,0,0,230000,3000000,3000000,0,0,0,0,0,1,45,2
113,고소득 전문직,4800,12900,2,1,0,고소득 전문직,8400,2,200612,14000000,14000000,20,0,0,0,0,6,0,100,0,3000000,50,0,0,0,0,260000,5000000,5000000,0,0,0,1400000,4,1,40,1
114,자영업,4300,9200,3,2,0,예체능계 종사자,4900,1,201302,6000000,0,0,0,0,5,6,20,40미만,100,3000000,1000000,30,120000,0,120000,0,120000,14000000,18000000,0,0,11,2400000,6,1,50,1
115,공무원,5200,5200,1,1,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,230000,0,230000,1190000,46000000,46000000,0,0,0,0,0,1,50,2
116,기업/단체 임원,8900,16900,2,1,0,전문직,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,0,120000,0,120000,10000000,10000000,0,0,0,0,0,0,60,2
117,,3900,4700,3,1,0,,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,40000,5000000,5000000,0,0,0,0,0,1,35,2
118,예체능계 종사자,3600,8300,4,1,0,공무원,4700,0,0,0,0,0,0,0,0,0,7,10미만,0,0,0,0,110000,0,110000,0,110000,13000000,13000000,0,0,3,700000,2,0,55,1
119,주부,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109000000,109000000,0,0,0,0,0,1,25,1
120,,4300,9300,2,1,,,5000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,130000,0,130000,0,130000,14000000,14000000,0,0,1,100000,1,0,45,2
121,단순 사무직,2800,5100,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,200000,100000,200000,260000,7000000,9000000,0,0,0,0,0,0,50,2
122,전문직,3200,7900,4,3,29,2차산업 종사자,4700,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1490000,0,1990000,0,1490000,45000000,58000000,0,0,1,73000000,12,8,50,2
123,자영업,5400,5400,2,1,0,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,90000,0,90000,0,390000,7000000,7000000,0,0,0,0,0,0,35,2
124,3차산업 종사자,4100,8300,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,300000,300000,5000000,5000000,0,0,0,0,0,0,35,2
125,전문직,4400,8800,2,2,0,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,60000,0,260000,0,190000,20000000,54000000,0,0,0,2200000,9,2,40,2
126,자영업,5400,11500,7,2,14,3차산업 종사자,6100,2,201112,30000000,30000000,0,0,0,1,2,6,0,0,0,0,0,340000,190000,590000,190000,3990000,50000000,89000000,1,0,0,6300000,14,6,40,2
127,1차산업 종사자,4300,7200,4,1,19,단순 사무직,2900,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,50000,9000000,9000000,0,0,0,200000,5,1,50,2
128,전문직,3900,3900,2,1,0,,0,0,0,0,0,0,0,0,0,0,19,10미만,0,0,0,0,0,230000,0,230000,490000,15000000,15000000,0,0,12,0,0,0,40,1
129,자영업,5000,5000,3,2,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,50000,0,70000,3000000,13000000,0,0,1,1200000,0,2,40,2
130,2차산업 종사자,5200,10000,3,2,0,자영업,4800,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,60000,0,4000000,6000000,0,0,0,5800000,22,1,45,2
131,2차산업 종사자,3800,4500,3,2,14,주부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000,0,260000,0,260000,29000000,34000000,0,0,0,400000,3,1,35,2
132,주부,0,6900,4,1,19,고소득 전문직,7000,2,200202,5000000,4000000,33,0,0,0,5,14,0,100,4000000,0,0,0,0,0,0,110000,7000000,7000000,1,0,0,0,0,2,55,2
133,주부,0,4300,5,1,14,사무직,4200,0,0,0,0,0,0,0,0,0,63,0,94,3000000,0,0,0,0,0,0,60000,4000000,4000000,0,0,0,1000000,7,1,40,2
134,사무직,4900,10500,3,2,24,3차산업 종사자,5600,0,0,0,0,0,0,0,0,0,4,10미만,0,0,0,0,260000,0,260000,0,260000,7000000,12000000,0,0,1,0,0,1,45,1
135,3차산업 종사자,3000,3600,3,2,0,,0,0,0,0,0,0,0,0,0,0,3,0,100,2000000,1000000,10,150000,0,590000,0,150000,12000000,42000000,1,0,4,9400000,0,0,40,2
136,공무원,3700,3700,2,1,0,,0,0,0,0,0,0,0,0,0,0,6,10미만,0,0,0,0,0,300000,0,300000,300000,6000000,6000000,0,0,2,0,0,0,35,2
137,자영업,6000,10800,2,2,0,주부,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,120000,0,120000,0,120000,13000000,17000000,0,0,2,300000,1,1,50,1
138,2차산업 종사자,3700,8300,2,2,0,공무원,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000,0,490000,0,110000,16000000,44000000,0,0,0,600000,9,1,40,2
